ID,MONTHS_BALANCE,STATUS
5105451,-28,X
5022297,-8,0
5053982,-13,C
5023377,-5,C
5137190,-7,C
5114594,-7,0
5053520,-43,0
5137043,-6,C
5054354,-11,C
5061154,-11,C
5022649,-20,0
5113780,-23,C
5061128,-6,0
5085913,-16,0
5085905,-20,C
5106065,-54,X
5143034,-18,1
5067403,-6,0
5005334,-18,C
5113018,-3,C
5021862,-49,0
5029775,-29,0
5091590,-1,X
5002013,-27,0
5091063,-11,1
5117536,-4,0
5117105,-49,X
5125182,-1,0
5069200,-11,C
5092405,-29,C
5016648,-16,C
5053539,-56,0
5143455,-29,0
5068148,-1,C
5026626,-10,0
5011512,-25,C
5011238,-35,X
5066736,-11,C
5085626,-1,0
5035817,-21,0
5113604,-23,0
5002717,-34,0
5105464,-30,0
5121925,-28,X
5023519,-39,X
5016471,-8,C
5058522,-19,0
5122358,-17,X
5042195,-1,C
5061882,-39,X
5121999,-23,C
5018421,-2,0
5125781,-16,0
5062170,-38,C
5145842,-9,C
5061700,-15,C
5053541,-34,C
5119986,-14,X
5002201,-39,C
5022027,-2,0
5085745,-37,C
5067155,-9,C
5060264,-47,X
5120446,-21,0
5105184,-28,0
5017119,-29,X
5038721,-9,C
5036611,-16,X
5054707,-9,C
5118584,-28,C
5053919,-20,0
5095079,-1,0
5001859,-7,C
5066778,-3,C
5117107,-4,C
5095941,-15,C
5011219,-27,X
5148870,-6,X
5125455,-30,0
5005593,-3,C
5126384,-7,C
5022624,-19,0
5105438,-3,C
5126653,-44,0
5143589,-40,0
5048483,-26,X
5061749,-9,C
5026151,0,0
5011553,-37,X
5142488,-36,0
5143624,0,C
5078623,-3,C
5095548,-10,C
5053408,-3,C
5002750,-32,C
5117122,-49,X
5045583,-7,1
5091271,-11,C
5142515,-45,0
5009989,-46,0
5002887,-33,C
5113368,-8,C
5060055,-37,X
5045042,-18,0
5118446,-4,0
5005234,-11,C
5023937,-23,C
5026653,-18,C
5112844,-19,C
5085761,-11,0
5143562,-32,0
5058537,-1,C
5067620,-39,0
5038818,-12,C
5117778,-7,0
5011405,-11,C
5113463,-35,0
5113004,-17,0
5085705,-8,X
5050618,-4,0
5121672,-24,X
5136015,-15,1
5117982,-7,C
5045863,-19,C
5005873,-44,C
5112858,-36,0
5024451,-26,0
5038854,-31,C
5135613,-18,0
5004971,-9,C
5121567,-18,C
5056070,0,C
5121620,-30,0
5117627,-23,C
5068040,-20,C
5118542,-15,0
5004683,-9,X
5105056,-30,C
5091241,-49,0
5062707,-14,0
5113708,-11,X
5132754,-36,X
5125596,-20,C
5088996,-23,C
5016503,-19,0
5089172,-35,C
5120856,-30,C
5116225,-21,C
5089222,-2,0
5044709,-25,0
5089040,-7,C
5135418,-16,C
5003821,-22,C
5009240,-22,C
5004522,-15,0
5023967,-1,C
5116505,-9,C
5045809,-10,0
5045448,-39,C
5092015,-38,0
5003796,-24,0
5048076,-19,C
5066716,-56,X
5146058,-44,C
5120874,-30,X
5114627,-9,0
5093234,-6,C
5062417,-19,C
5115695,-10,X
5066533,0,C
5126543,-19,C
5095290,-1,C
5045986,-25,C
5085781,-22,0
5011302,-13,0
5135617,-2,C
5122185,-14,X
5120087,-5,C
5026722,-17,0
5105505,-14,C
5143382,-26,0
5036702,-13,X
5062051,-12,C
5053821,-13,0
5089422,-19,X
5120641,-43,0
5036558,-2,0
5060391,-40,0
5122293,-4,0
5046027,-4,0
5048230,-13,0
5139923,-7,C
5089655,-4,0
5089635,-34,0
5038587,-8,C
5053852,-2,C
5062706,-6,C
5114348,-1,0
5149564,-28,0
5052702,-18,X
5068126,-51,X
5028501,-2,X
5054508,-23,0
5029168,-23,0
5092466,-5,0
5011157,-4,X
5091878,-17,C
5058280,-21,C
5145971,-1,X
5148680,-34,X
5116434,-5,C
5018204,-6,0
5058250,-1,X
5046302,-1,0
5017134,-14,X
5029108,-18,0
5041455,-46,0
5113766,-15,0
5017654,-29,C
5125384,-4,C
5024453,-20,0
5105619,-14,C
5060388,-16,C
5089885,-25,C
5059953,-8,0
5002147,-48,X
5136024,-21,0
5146044,-22,X
5060917,-29,X
5062011,-10,0
5149581,-31,C
5016895,-4,0
5044501,-39,0
5005345,-22,0
5052832,-22,C
5117799,-55,X
5029327,-2,C
5017246,-9,C
5149150,-9,X
5115724,-3,0
5005891,-57,0
5025683,-7,C
5018160,-28,C
5150209,-15,C
5078759,-22,0
5002833,-16,0
5067400,-44,0
5145725,-11,0
5067103,-4,0
5028761,-32,C
5005329,-26,C
5116802,-36,C
5137093,-6,C
5050515,-29,X
5116332,0,C
5060809,-2,0
5016385,-10,X
5095555,-21,0
5095569,-16,X
5068916,-18,0
5092253,-14,C
5010118,-4,X
5095972,-5,X
5050681,-6,0
5067826,-3,0
5053549,-17,0
5017439,-2,C
5118287,-9,C
5009826,-2,C
5045412,-5,0
5150039,-2,C
5125752,-35,0
5135869,-20,X
5012356,-52,0
5106023,0,C
5028770,-3,0
5005641,-42,X
5042093,-16,X
5038664,-25,X
5090724,-1,0
5047731,-21,C
5113049,-40,X
5087626,-47,0
5067614,-43,C
5036712,-17,C
5125939,-7,X
5120339,-9,0
5100368,-13,0
5021728,-54,X
5017311,-26,X
5118415,0,C
5050490,-1,0
5143325,-3,C
5115995,-19,C
5035741,-22,C
5135547,-18,X
5050920,-10,0
5059853,-3,C
5004917,-10,0
5062548,-16,C
5120661,-35,X
5089757,-8,0
5054445,-22,0
5120228,-26,0
5062020,-22,0
5113793,-20,X
5146573,-30,C
5012573,-44,X
5096193,-2,X
5005012,-4,X
5051131,-1,0
5004714,-22,C
5017464,-39,X
5045826,-4,X
5046307,-24,0
5017780,-17,0
5003464,-17,C
5120375,-23,C
5061154,-24,C
5050707,-14,C
5068196,-16,0
5114286,-9,0
5120395,-14,0
5125141,-21,C
5010218,-26,C
5003519,-42,0
5067148,0,0
5125992,-6,X
5004177,-47,C
5105745,-3,0
5011008,-21,0
5010501,-11,0
5096761,-23,C
5094890,-17,X
5022095,-40,X
5068596,0,C
5062251,-19,C
5149966,-31,1
5143000,-8,X
5011010,-23,0
5090952,-49,0
5100224,-43,0
5048282,0,X
5078565,-8,0
5024551,-2,C
5095460,-4,0
5042018,-7,1
5012512,-25,C
5051157,-51,0
5022553,-54,0
5023696,-19,X
5090390,-2,C
5042027,-14,0
5111132,-11,0
5142437,-5,X
5125843,-25,C
5135615,-13,C
5045362,-11,C
5023506,-20,0
5125308,-4,X
5009183,-17,C
5126130,-12,0
5050947,-11,0
5117736,-10,C
5113277,-13,X
5036532,-2,C
5016370,-15,X
5105363,-7,C
5114377,-2,0
5009284,-40,C
5025257,-2,C
5061274,-20,X
5078808,-40,0
5045781,-8,C
5026464,-35,X
5079118,-17,0
5060996,-10,C
5068728,-9,C
5067956,-23,X
5062102,-5,C
5009269,-32,0
5053985,-19,0
5005380,-22,C
5137489,-24,X
5038513,-1,C
5061954,-45,X
